step,time,joint,joint_id,joint_pos,joint_vel,joint_pos_target,joint_vel_target,joint_effort_target,applied_torque,computed_torque,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
7,0.035,front_right_shoulder_to_arm,7,-0.7900019288063049,9.834888459181457e-10,-0.7900000214576721,0.0,0.0,4.339006409281865e-05,4.339006409281865e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.035,front_right_arm_to_hand,11,1.5,4.339476555870192e-10,1.5,0.0,0.0,2.561743484008616e-09,2.561743484008616e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.04,base_to_front_right_shoulder,3,-0.006192828994244337,-0.19635026156902313,0.0,0.0,0.0,0.5150821208953857,0.5150821208953857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.04,front_right_shoulder_to_arm,7,-0.790002167224884,5.317009055261224e-10,-0.7900000214576721,0.0,0.0,4.958909630659036e-05,4.958909630659036e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.04,front_right_arm_to_hand,11,1.5,-9.380115573165426e-10,1.5,0.0,0.0,-8.678953111740384e-10,-8.678953111740384e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.045,base_to_front_right_shoulder,3,-0.0071943667717278,-0.20030662417411804,0.0,0.0,0.0,0.5537140965461731,0.5537140965461731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.045,front_right_shoulder_to_arm,7,-0.7900024056434631,-9.881162554847833e-11,-0.7900000214576721,0.0,0.0,5.5788885219953954e-05,5.5788885219953954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.045,front_right_arm_to_hand,11,1.5,-8.213222324471303e-10,1.5,0.0,0.0,1.8760231146330852e-09,1.8760231146330852e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05,base_to_front_right_shoulder,3,-0.00820425059646368,-0.2019757777452469,0.0,0.0,0.0,0.5876667499542236,0.5876667499542236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05,front_right_shoulder_to_arm,7,-0.7900026440620422,9.762182173744804e-10,-0.7900000214576721,0.0,0.0,6.198902701726183e-05,6.198902701726183e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.05,front_right_arm_to_hand,11,1.5,-1.7551078368427397e-09,1.5,0.0,0.0,1.6426444648942606e-09,1.6426444648942606e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.055,base_to_front_right_shoulder,3,-0.009212486445903778,-0.2016463428735733,0.0,0.0,0.0,0.617262065410614,0.617262065410614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.055,front_right_shoulder_to_arm,7,-0.7900028824806213,1.2147403083417885e-09,-0.7900000214576721,0.0,0.0,6.818576366640627e-05,6.818576366640627e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.055,front_right_arm_to_hand,11,1.5,2.395277587385891e-10,1.5,0.0,0.0,3.5102156736854795e-09,3.5102156736854795e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.06,base_to_front_right_shoulder,3,-0.010210421867668629,-0.19958622753620148,0.0,0.0,0.0,0.6428173184394836,0.6428173184394836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.06,front_right_shoulder_to_arm,7,-0.7900031208992004,-3.277573767945796e-10,-0.7900000214576721,0.0,0.0,7.438416650984436e-05,7.438416650984436e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.06,front_right_arm_to_hand,11,1.5,1.7972806576338485e-10,1.5,0.0,0.0,-4.790555174771782e-10,-4.790555174771782e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.065,base_to_front_right_shoulder,3,-0.011190643534064293,-0.19604305922985077,0.0,0.0,0.0,0.664643406867981,0.664643406867981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.065,front_right_shoulder_to_arm,7,-0.7900033593177795,-1.7895640525011913e-09,-0.7900000214576721,0.0,0.0,8.05861345725134e-05,8.05861345725134e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.065,front_right_arm_to_hand,11,1.5,5.539838587864665e-10,1.5,0.0,0.0,-3.594561315267697e-10,-3.594561315267697e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.07,base_to_front_right_shoulder,3,-0.012146870605647564,-0.19124464690685272,0.0,0.0,0.0,0.6830428838729858,0.6830428838729858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.07,front_right_shoulder_to_arm,7,-0.7900035977363586,-1.0074998613163189e-09,-0.7900000214576721,0.0,0.0,8.678794256411493e-05,8.678794256411493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.07,front_right_arm_to_hand,11,1.5,1.6675253400322276e-09,1.5,0.0,0.0,-1.107967717572933e-09,-1.107967717572933e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.075,base_to_front_right_shoulder,3,-0.013073872774839401,-0.18539968132972717,0.0,0.0,0.0,0.6983079314231873,0.6983079314231873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
