step,time,joint,joint_id,joint_pos,joint_vel,joint_pos_target,joint_vel_target,joint_effort_target,applied_torque,computed_torque,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
24,0.48,front_right_shoulder_to_arm,7,-0.7874640822410583,-0.0005643984186463058,-0.7900000214576721,0.0,0.0,-0.2039281129837036,-0.2039281129837036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.5,front_right_shoulder_to_arm,7,-0.7874589562416077,-0.0005624716286547482,-0.7900000214576721,0.0,0.0,-0.204371839761734,-0.204371839761734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.52,front_right_shoulder_to_arm,7,-0.7873898148536682,0.0016420276369899511,-0.7900000214576721,0.0,0.0,-0.2058197408914566,-0.2058197408914566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.54,front_right_shoulder_to_arm,7,-0.7874547243118286,-0.000564396963454783,-0.7900000214576721,0.0,0.0,-0.20467674732208252,-0.20467674732208252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.56,front_right_shoulder_to_arm,7,-0.7874501347541809,-0.0005624894984066486,-0.7900000214576721,0.0,0.0,-0.20507732033729553,-0.20507732033729553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.58,front_right_shoulder_to_arm,7,-0.7874516248703003,-0.0005033957422710955,-0.7900000214576721,0.0,0.0,-0.20585624873638153,-0.20585624873638153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.6,front_right_shoulder_to_arm,7,-0.7874478697776794,-0.000564338406547904,-0.7900000214576721,0.0,0.0,-0.20522601902484894,-0.20522601902484894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.62,front_right_shoulder_to_arm,7,-0.7874427437782288,-0.0004970037844032049,-0.7900000214576721,0.0,0.0,-0.20665496587753296,-0.20665496587753296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.64,front_right_shoulder_to_arm,7,-0.7874390482902527,0.0018178860191255808,-0.7900000214576721,0.0,0.0,-0.2002945840358734,-0.2002945840358734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.66,front_right_shoulder_to_arm,7,-0.7874384522438049,-0.000564338406547904,-0.7900000214576721,0.0,0.0,-0.2059793770313263,-0.2059793770313263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
