step,time,joint,joint_id,joint_pos,joint_vel,joint_pos_target,joint_vel_target,joint_effort_target,applied_torque,computed_torque,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11
25,0.5,base_to_front_right_shoulder,3,-0.008677351288497448,8.172434172593057e-05,0.0,0.0,0.0,0.693619966506958,0.693619966506958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.52,base_to_front_right_shoulder,3,-0.008662763983011246,-0.00023870891891419888,0.0,0.0,0.0,0.6926276087760925,0.6926276087760925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.54,base_to_front_right_shoulder,3,-0.008688935078680515,8.202077879104763e-05,0.0,0.0,0.0,0.6945440769195557,0.6945440769195557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.56,base_to_front_right_shoulder,3,-0.008674115873873234,8.172469097189605e-05,0.0,0.0,0.0,0.6933649182319641,0.6933649182319641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.58,base_to_front_right_shoulder,3,-0.008700975216925144,7.315118273254484e-05,0.0,0.0,0.0,0.6956478953361511,0.6956478953361511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.6,base_to_front_right_shoulder,3,-0.008685672655701637,8.200971205951646e-05,0.0,0.0,0.0,0.6942859888076782,0.6942859888076782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.62,base_to_front_right_shoulder,3,-0.008670911192893982,7.220634870463982e-05,0.0,0.0,0.0,0.6932609677314758,0.6932609677314758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.64,base_to_front_right_shoulder,3,-0.00865640677511692,-0.00026414491003379226,0.0,0.0,0.0,0.6952489614486694,0.6952489614486694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.66,base_to_front_right_shoulder,3,-0.008682533167302608,8.199334115488455e-05,0.0,0.0,0.0,0.6940388679504395,0.6940388679504395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.68,base_to_front_right_shoulder,3,-0.008667731657624245,7.22857512300834e-05,0.0,0.0,0.0,0.6930094361305237,0.6930094361305237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.7000000000000001,base_to_front_right_shoulder,3,-0.008694397285580635,-0.00022913605789653957,0.0,0.0,0.0,0.6949832439422607,0.6949832439422607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.72,base_to_front_right_shoulder,3,-0.008679315447807312,8.174447430064902e-05,0.0,0.0,0.0,0.6937887072563171,0.6937887072563171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.74,base_to_front_right_shoulder,3,-0.008664356544613838,-0.0002615656121633947,0.0,0.0,0.0,0.6959066390991211,0.6959066390991211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
