step,gyro_centro_y,gyro_adelante_y,accel_centro_z,accel_adelante_z
78,0.0,0.0,9.81,9.81
79,0.0,0.0,9.81,9.81
80,0.0,0.0,9.81,9.81
81,0.0,0.0,9.81,9.81
82,0.0,0.0,9.81,9.81
83,0.0,0.0,9.81,9.81
84,0.0,0.0,9.81,9.81
85,0.0,0.0,9.81,9.81
86,0.0,0.0,9.81,9.81
87,0.0,0.0,9.81,9.81
88,0.0,0.0,9.81,9.81
89,0.0,0.0,9.81,9.81
90,0.0,0.0,9.81,9.81
91,0.0,0.0,9.81,9.81
92,0.0,0.0,9.81,9.81
93,0.0,0.0,9.81,9.81
94,0.0,0.0,9.81,9.81
95,0.0,0.0,9.81,9.81
96,0.0,0.0,9.81,9.81
97,0.0,0.0,9.81,9.81
98,0.0,0.0,9.81,9.81
99,0.0,0.0,9.81,9.81
100,0.0,0.0,9.81,9.81
101,0.0,0.0,9.81,9.81
102,0.0,0.0,9.81,9.81
103,0.0,0.0,9.81,9.81
104,0.0,0.0,9.81,9.81
105,0.0,0.0,9.81,9.81
106,0.0,0.0,9.81,9.81
107,0.0,0.0,9.81,9.81
108,0.0,0.0,9.81,9.81
109,0.0,0.0,9.81,9.81
110,0.0,0.0,9.81,9.81
111,0.0,0.0,9.81,9.81
112,0.0,0.0,9.81,9.81
113,0.0,0.0,9.81,9.81
114,0.0,0.0,9.81,9.81
115,0.0,0.0,9.81,9.81
116,0.0,0.0,9.81,9.81
117,0.0,0.0,9.81,9.81
118,0.0,0.0,9.81,9.81
119,0.0,0.0,9.81,9.81
120,0.0,0.0,9.81,9.81
121,0.0,0.0,9.81,9.81
122,0.0,0.0,9.81,9.81
123,0.0,0.0,9.81,9.81
124,0.0,0.0,9.81,9.81
125,0.0,0.0,9.81,9.81
126,0.0,0.0,9.81,9.81
127,0.0,0.0,9.81,9.81
128,0.0,0.0,9.81,9.81
129,0.0,0.0,9.81,9.81
130,0.0,0.0,9.81,9.81
131,0.0,0.0,9.81,9.81
132,0.0,0.0,9.81,9.81
133,0.0,0.0,9.81,9.81
134,0.0,0.0,9.81,9.81
135,0.0,0.0,9.81,9.81
136,0.0,0.0,9.81,9.81
137,0.0,0.0,9.81,9.81
138,0.0,0.0,9.81,9.81
139,0.0,0.0,9.81,9.81
140,0.0,0.0,9.81,9.81
141,0.0,0.0,9.81,9.81
142,0.0,0.0,9.81,9.81
143,0.0,0.0,9.81,9.81
144,0.0,0.0,9.81,9.81
145,0.0,0.0,9.81,9.81
146,0.0,0.0,9.81,9.81
147,0.0,0.0,9.81,9.81
148,0.0,0.0,9.81,9.81
149,0.0,0.0,9.81,9.81
150,0.0,0.0,9.81,9.81
151,0.0,0.0,9.81,9.81
152,0.0,0.0,9.81,9.81
153,0.0,0.0,9.81,9.81
154,0.0,0.0,9.81,9.81
155,0.0,0.0,9.81,9.81
156,0.0,0.0,9.81,9.81
157,0.0,0.0,9.81,9.81
158,0.0,0.0,9.81,9.81
159,0.0,0.0,9.81,9.81
160,0.0,0.0,9.81,9.81
161,0.0,0.0,9.81,9.81
162,0.0,0.0,9.81,9.81
163,0.0,0.0,9.81,9.81
164,0.0,0.0,9.81,9.81
165,0.0,0.0,9.81,9.81
166,0.0,0.0,9.81,9.81
167,0.0,0.0,9.81,9.81
168,0.0,0.0,9.81,9.81
169,0.0,0.0,9.81,9.81
170,0.0,0.0,9.81,9.81
171,0.0,0.0,9.81,9.81
172,0.0,0.0,9.81,9.81
173,0.0,0.0,9.81,9.81
174,0.0,0.0,9.81,9.81
175,0.0,0.0,9.81,9.81
176,0.0,0.0,9.81,9.81
177,0.0,0.0,9.81,9.81
178,0.0,0.0,9.81,9.81
179,0.0,0.0,9.81,9.81
180,0.0,0.0,9.81,9.81
181,0.0,0.0,9.81,9.81
182,0.0,0.0,9.81,9.81
183,0.0,0.0,9.81,9.81
184,0.0,0.0,9.81,9.81
185,0.0,0.0,9.81,9.81
186,0.0,0.0,9.81,9.81
187,0.0,0.0,9.81,9.81
188,0.0,0.0,9.81,9.81
189,0.0,0.0,9.81,9.81
190,0.0,0.0,9.81,9.81
191,0.0,0.0,9.81,9.81
192,0.0,0.0,9.81,9.81
193,0.0,0.0,9.81,9.81
194,0.0,0.0,9.81,9.81
195,0.0,0.0,9.81,9.81
196,0.0,0.0,9.81,9.81
197,0.0,0.0,9.81,9.81
198,0.0,0.0,9.81,9.81
199,0.0,0.0,9.81,9.81
200,0.0,0.0,9.81,9.81
201,0.0,0.0,9.81,9.81
202,0.0,0.0,9.81,9.81
203,0.0,0.0,9.81,9.81
204,0.0,0.0,9.81,9.81
205,0.0,0.0,9.81,9.81
206,0.0,0.0,9.81,9.81
207,0.0,0.0,9.81,9.81
208,0.0,0.0,9.81,9.81
209,0.0,0.0,9.81,9.81
210,0.0,0.0,9.81,9.81
211,0.0,0.0,9.81,9.81
212,0.0,0.0,9.81,9.81
213,0.0,0.0,9.81,9.81
214,0.0,0.0,9.81,9.81
215,0.0,0.0,9.81,9.81
216,0.0,0.0,9.81,9.81
217,0.0,0.0,9.81,9.81
218,0.0,0.0,9.81,9.81
219,0.0,0.0,9.81,9.81
220,0.0,0.0,9.81,9.81
221,0.0,0.0,9.81,9.81
222,0.0,0.0,9.81,9.81
223,0.0,0.0,9.81,9.81
224,0.0,0.0,9.81,9.81
225,0.0,0.0,9.81,9.81
226,0.0,0.0,9.81,9.81
227,0.0,0.0,9.81,9.81
228,0.0,0.0,9.81,9.81
229,0.0,0.0,9.81,9.81
230,0.0,0.0,9.81,9.81
231,0.0,0.0,9.81,9.81
232,0.0,0.0,9.81,9.81
233,0.0,0.0,9.81,9.81
234,0.0,0.0,9.81,9.81
235,0.0,0.0,9.81,9.81
236,0.0,0.0,9.81,9.81
237,0.0,0.0,9.81,9.81
238,0.0,0.0,9.81,9.81
239,0.0,0.0,9.81,9.81
240,0.0,0.0,9.81,9.81
241,0.0,0.0,9.81,9.81
242,0.0,0.0,9.81,9.81
243,0.0,0.0,9.81,9.81
244,0.0,0.0,9.81,9.81
245,0.0,0.0,9.81,9.81
246,0.0,0.0,9.81,9.81
247,0.0,0.0,9.81,9.81
248,0.0,0.0,9.81,9.81
249,0.0,0.0,9.81,9.81
250,0.0,0.0,9.81,9.81
251,0.0,0.0,9.81,9.81
252,0.0,0.0,9.81,9.81
253,0.0,0.0,9.81,9.81
254,0.0,0.0,9.81,9.81
255,0.0,0.0,9.81,9.81
256,0.0,0.0,9.81,9.81
257,0.0,0.0,9.81,9.81
258,0.0,0.0,9.81,9.81
259,0.0,0.0,9.81,9.81
260,0.0,0.0,9.81,9.81
261,0.0,0.0,9.81,9.81
262,0.0,0.0,9.81,9.81
263,0.0,0.0,9.81,9.81
264,0.0,0.0,9.81,9.81
265,0.0,0.0,9.81,9.81
266,0.0,0.0,9.81,9.81
267,0.0,0.0,9.81,9.81
268,0.0,0.0,9.81,9.81
269,0.0,0.0,9.81,9.81
270,0.0,0.0,9.81,9.81
271,0.0,0.0,9.81,9.81
272,0.0,0.0,9.81,9.81
273,0.0,0.0,9.81,9.81
274,0.0,0.0,9.81,9.81
275,0.0,0.0,9.81,9.81
276,0.0,0.0,9.81,9.81
277,0.0,0.0,9.81,9.81
278,0.0,0.0,9.81,9.81
279,0.0,0.0,9.81,9.81
280,0.0,0.0,9.81,9.81
281,0.0,0.0,9.81,9.81
282,0.0,0.0,9.81,9.81
283,0.0,0.0,9.81,9.81
284,0.0,0.0,9.81,9.81
285,0.0,0.0,9.81,9.81
286,0.0,0.0,9.81,9.81
287,0.0,0.0,9.81,9.81
288,0.0,0.0,9.81,9.81
289,0.0,0.0,9.81,9.81
290,0.0,0.0,9.81,9.81
291,0.0,0.0,9.81,9.81
292,0.0,0.0,9.81,9.81
293,0.0,0.0,9.81,9.81
294,0.0,0.0,9.81,9.81
295,0.0,0.0,9.81,9.81
296,0.0,0.0,9.81,9.81
297,0.0,0.0,9.81,9.81
298,0.0,0.0,9.81,9.81
299,0.0,0.0,9.81,9.81
300,0.0,0.0,9.81,9.81
301,0.0,0.0,9.81,9.81
302,0.0,0.0,9.81,9.81
303,0.0,0.0,9.81,9.81
304,0.0,0.0,9.81,9.81
305,0.0,0.0,9.81,9.81
306,0.0,0.0,9.81,9.81
307,0.0,0.0,9.81,9.81
308,0.0,0.0,9.81,9.81
309,0.0,0.0,9.81,9.81
310,0.0,0.0,9.81,9.81
311,0.0,0.0,9.81,9.81
312,0.0,0.0,9.81,9.81
313,0.0,0.0,9.81,9.81
314,0.0,0.0,9.81,9.81
315,0.0,0.0,9.81,9.81
316,0.0,0.0,9.81,9.81
317,0.0,0.0,9.81,9.81
318,0.0,0.0,9.81,9.81
319,0.0,0.0,9.81,9.81
320,0.0,0.0,9.81,9.81
321,0.0,0.0,9.81,9.81
322,0.0,0.0,9.81,9.81
323,0.0,0.0,9.81,9.81
324,0.0,0.0,9.81,9.81
325,0.0,0.0,9.81,9.81
326,0.0,0.0,9.81,9.81
327,0.0,0.0,9.81,9.81
328,0.0,0.0,9.81,9.81
329,0.0,0.0,9.81,9.81
330,0.0,0.0,9.81,9.81
331,0.0,0.0,9.81,9.81
332,0.0,0.0,9.81,9.81
333,0.0,0.0,9.81,9.81
334,0.0,0.0,9.81,9.81
335,0.0,0.0,9.81,9.81
336,0.0,0.0,9.81,9.81
337,0.0,0.0,9.81,9.81
338,0.0,0.0,9.81,9.81
339,0.0,0.0,9.81,9.81
340,0.0,0.0,9.81,9.81
341,0.0,0.0,9.81,9.81
342,0.0,0.0,9.81,9.81
343,0.0,0.0,9.81,9.81
344,0.0,0.0,9.81,9.81
345,0.0,0.0,9.81,9.81
346,0.0,0.0,9.81,9.81
347,0.0,0.0,9.81,9.81
348,0.0,0.0,9.81,9.81
349,0.0,0.0,9.81,9.81
350,0.0,0.0,9.81,9.81
351,0.0,0.0,9.81,9.81
352,0.0,0.0,9.81,9.81
353,0.0,0.0,9.81,9.81
354,0.0,0.0,9.81,9.81
355,0.0,0.0,9.81,9.81
356,0.0,0.0,9.81,9.81
357,0.0,0.0,9.81,9.81
358,0.0,0.0,9.81,9.81
359,0.0,0.0,9.81,9.81
360,0.0,0.0,9.81,9.81
361,0.0,0.0,9.81,9.81
362,0.0,0.0,9.81,9.81
363,0.0,0.0,9.81,9.81
364,0.0,0.0,9.81,9.81
365,0.0,0.0,9.81,9.81
366,0.0,0.0,9.81,9.81
367,0.0,0.0,9.81,9.81
368,0.0,0.0,9.81,9.81
369,0.0,0.0,9.81,9.81
370,0.0,0.0,9.81,9.81
371,0.0,0.0,9.81,9.81
372,0.0,0.0,9.81,9.81
373,0.0,0.0,9.81,9.81
374,0.0,0.0,9.81,9.81
375,0.0,0.0,9.81,9.81
376,0.0,0.0,9.81,9.81
377,0.0,0.0,9.81,9.81
378,0.0,0.0,9.81,9.81
379,0.0,0.0,9.81,9.81
380,0.0,0.0,9.81,9.81
381,0.0,0.0,9.81,9.81
382,0.0,0.0,9.81,9.81
383,0.0,0.0,9.81,9.81
384,0.0,0.0,9.81,9.81
385,0.0,0.0,9.81,9.81
386,0.0,0.0,9.81,9.81
387,0.0,0.0,9.81,9.81
388,0.0,0.0,9.81,9.81
389,0.0,0.0,9.81,9.81
390,0.0,0.0,9.81,9.81
391,0.0,0.0,9.81,9.81
392,0.0,0.0,9.81,9.81
393,0.0,0.0,9.81,9.81
394,0.0,0.0,9.81,9.81
395,0.0,0.0,9.81,9.81
396,0.0,0.0,9.81,9.81
397,0.0,0.0,9.81,9.81
398,0.0,0.0,9.81,9.81
399,0.0,0.0,9.81,9.81
400,0.0,0.0,9.81,9.81
401,0.0,0.0,9.81,9.81
402,0.0,0.0,9.81,9.81
403,0.0,0.0,9.81,9.81
404,0.0,0.0,9.81,9.81
405,0.0,0.0,9.81,9.81
406,0.0,0.0,9.81,9.81
407,0.0,0.0,9.81,9.81
408,0.0,0.0,9.81,9.81
409,0.0,0.0,9.81,9.81
410,0.0,0.0,9.81,9.81
411,0.0,0.0,9.81,9.81
412,0.0,0.0,9.81,9.81
413,0.0,0.0,9.81,9.81
414,0.0,0.0,9.81,9.81
415,0.0,0.0,9.81,9.81
416,0.0,0.0,9.81,9.81
417,0.0,0.0,9.81,9.81
418,0.0,0.0,9.81,9.81
419,0.0,0.0,9.81,9.81
420,0.0,0.0,9.81,9.81
421,0.0,0.0,9.81,9.81
422,0.0,0.0,9.81,9.81
423,0.0,0.0,9.81,9.81
424,0.0,0.0,9.81,9.81
425,0.0,0.0,9.81,9.81
426,0.0,0.0,9.81,9.81
427,0.0,0.0,9.81,9.81
428,0.0,0.0,9.81,9.81
429,0.0,0.0,9.81,9.81
430,0.0,0.0,9.81,9.81
431,0.0,0.0,9.81,9.81
432,0.0,0.0,9.81,9.81
433,0.0,0.0,9.81,9.81
434,0.0,0.0,9.81,9.81
435,0.0,0.0,9.81,9.81
436,0.0,0.0,9.81,9.81
437,0.0,0.0,9.81,9.81
438,0.0,0.0,9.81,9.81
439,0.0,0.0,9.81,9.81
440,0.0,0.0,9.81,9.81
441,0.0,0.0,9.81,9.81
442,0.0,0.0,9.81,9.81
443,0.0,0.0,9.81,9.81
444,0.0,0.0,9.81,9.81
445,0.0,0.0,9.81,9.81
446,0.0,0.0,9.81,9.81
447,0.0,0.0,9.81,9.81
448,0.0,0.0,9.81,9.81
449,0.0,0.0,9.81,9.81
450,0.0,0.0,9.81,9.81
451,0.0,0.0,9.81,9.81
452,0.0,0.0,9.81,9.81
453,0.0,0.0,9.81,9.81
454,0.0,0.0,9.81,9.81
455,0.0,0.0,9.81,9.81
456,0.0,0.0,9.81,9.81
457,0.0,0.0,9.81,9.81
458,0.0,0.0,9.81,9.81
459,0.0,0.0,9.81,9.81
460,0.0,0.0,9.81,9.81
461,0.0,0.0,9.81,9.81
462,0.0,0.0,9.81,9.81
463,0.0,0.0,9.81,9.81
464,0.0,0.0,9.81,9.81
465,0.0,0.0,9.81,9.81
466,0.0,0.0,9.81,9.81
467,0.0,0.0,9.81,9.81
468,0.0,0.0,9.81,9.81
469,0.0,0.0,9.81,9.81
470,0.0,0.0,9.81,9.81
471,0.0,0.0,9.81,9.81
472,0.0,0.0,9.81,9.81
473,0.0,0.0,9.81,9.81
474,0.0,0.0,9.81,9.81
475,0.0,0.0,9.81,9.81
476,0.0,0.0,9.81,9.81
477,0.0,0.0,9.81,9.81
478,0.0,0.0,9.81,9.81
479,0.0,0.0,9.81,9.81
480,0.0,0.0,9.81,9.81
481,0.0,0.0,9.81,9.81
482,0.0,0.0,9.81,9.81
483,0.0,0.0,9.81,9.81
484,0.0,0.0,9.81,9.81
485,0.0,0.0,9.81,9.81
486,0.0,0.0,9.81,9.81
487,0.0,0.0,9.81,9.81
488,0.0,0.0,9.81,9.81
489,0.0,0.0,9.81,9.81
490,0.0,0.0,9.81,9.81
491,0.0,0.0,9.81,9.81
492,0.0,0.0,9.81,9.81
493,0.0,0.0,9.81,9.81
494,0.0,0.0,9.81,9.81
495,0.0,0.0,9.81,9.81
496,0.0,0.0,9.81,9.81
497,0.0,0.0,9.81,9.81
498,0.0,0.0,9.81,9.81
499,0.0,0.0,9.81,9.81
