time_start,av_x,av_y,av_z,la_x,la_y,la_z
0.0,0.00762939453125,-1.80816650390625,0.32806396484375,-0.023193359375,1.00439453125,0.025390625
0.0,-0.14495849609375,-1.83868408203125,0.3662109375,-0.02392578125,1.00390625,0.025634765625
0.0,-0.2593994140625,-1.85394287109375,0.3814697265625,-0.024169921875,1.002685546875,0.02685546875
0.0,-0.38909912109375,-1.85394287109375,0.37384033203125,-0.023681640625,1.001708984375,0.02734375
0.0,-0.46539306640625,-1.861572265625,0.42724609375,-0.024169921875,1.000732421875,0.02783203125
0.0,-0.48828125,-1.86920166015625,0.41961669921875,-0.024169921875,1.0,0.028564453125
0.0,-0.51116943359375,-1.86920166015625,0.46539306640625,-0.024169921875,0.99853515625,0.029296875
0.0,-0.5035400390625,-1.89971923828125,0.5035400390625,-0.023681640625,0.997314453125,0.0302734375
0.0,-0.4730224609375,-1.89971923828125,0.518798828125,-0.02392578125,0.996337890625,0.0302734375
0.0,-0.41961669921875,-1.9073486328125,0.55694580078125,-0.0234375,0.9951171875,0.03076171875
0.0,-0.37384033203125,-1.9073486328125,0.5950927734375,-0.023681640625,0.994384765625,0.03125
0.0,-0.274658203125,-1.89971923828125,0.640869140625,-0.024169921875,0.993896484375,0.03173828125
0.0,-0.152587890625,-1.91497802734375,0.701904296875,-0.023193359375,0.992919921875,0.032958984375
0.0,-0.00762939453125,-1.94549560546875,0.69427490234375,-0.0234375,0.9912109375,0.033203125
0.0,0.1220703125,-1.91497802734375,0.74005126953125,-0.024169921875,0.99072265625,0.033203125
0.0,0.2899169921875,-1.91497802734375,0.80108642578125,-0.02392578125,0.990478515625,0.03369140625
0.0,0.48065185546875,-1.89971923828125,0.823974609375,-0.023681640625,0.989990234375,0.03466796875
0.0,0.69427490234375,-1.91497802734375,0.86212158203125,-0.024169921875,0.9892578125,0.034912109375
0.0,0.89263916015625,-1.9073486328125,0.92315673828125,-0.023681640625,0.989013671875,0.03515625
0.0,1.1138916015625,-1.89971923828125,0.95367431640625,-0.0234375,0.988037109375,0.03564453125
0.0,1.30462646484375,-1.89208984375,0.98419189453125,-0.023681640625,0.988037109375,0.03564453125
0.0,1.54876708984375,-1.88446044921875,1.01470947265625,-0.0234375,0.98779296875,0.03564453125
0.0,1.79290771484375,-1.86920166015625,1.07574462890625,-0.023681640625,0.9873046875,0.035888671875
0.0,2.0294189453125,-1.89208984375,1.10626220703125,-0.0234375,0.987548828125,0.03515625
0.0,2.25830078125,-1.89208984375,1.129150390625,-0.0234375,0.987548828125,0.035888671875
0.0,2.51007080078125,-1.85394287109375,1.18255615234375,-0.0234375,0.987060546875,0.035888671875
0.0,2.74658203125,-1.861572265625,1.220703125,-0.02392578125,0.986572265625,0.03515625
0.0,2.99072265625,-1.85394287109375,1.22833251953125,-0.023193359375,0.98779296875,0.0361328125
0.0,3.2501220703125,-1.83868408203125,1.27410888671875,-0.023193359375,0.98779296875,0.035888671875
0.0,3.41033935546875,-1.85394287109375,1.28936767578125,-0.02392578125,0.988037109375,0.03515625
0.0,3.63922119140625,-1.82342529296875,1.33514404296875,-0.023193359375,0.98876953125,0.034423828125
0.0,3.8299560546875,-1.80816650390625,1.31988525390625,-0.02294921875,0.9892578125,0.0341796875
0.0,4.0130615234375,-1.79290771484375,1.312255859375,-0.0224609375,0.989990234375,0.033447265625
0.0,4.21142578125,-1.80816650390625,1.38092041015625,-0.023681640625,0.99072265625,0.03369140625
0.0,4.3792724609375,-1.79290771484375,1.40380859375,-0.023193359375,0.991943359375,0.033203125
0.0,4.5166015625,-1.76239013671875,1.42669677734375,-0.023681640625,0.9921875,0.03271484375
0.0,4.6234130859375,-1.76239013671875,1.4190673828125,-0.0234375,0.993896484375,0.032958984375
0.0,4.70733642578125,-1.76239013671875,1.42669677734375,-0.023193359375,0.994140625,0.0322265625
0.0,4.81414794921875,-1.76239013671875,1.4495849609375,-0.022705078125,0.9951171875,0.031494140625
0.0,4.85992431640625,-1.73187255859375,1.434326171875,-0.02294921875,0.99560546875,0.030517578125
0.0,4.8828125,-1.71661376953125,1.45721435546875,-0.023193359375,0.99658203125,0.030029296875
0.0,4.9285888671875,-1.7242431640625,1.4801025390625,-0.023193359375,0.997314453125,0.029541015625
0.0,4.95147705078125,-1.73187255859375,1.46484375,-0.0234375,0.99853515625,0.02978515625
0.0,4.90570068359375,-1.7242431640625,1.4801025390625,-0.023681640625,1.0,0.0283203125
