time_start,time_end,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot,motion,movement
1776271821.9988961,13616.972525125,32.1674919128418,-17.312503814697266,98.76000213623047,-36.33999252319336,-17.16000747680664,97.38002014160156,29.05234718322754,2.3151402473449707,74.8948745727539,-30.219993591308594,-3.2248566150665283,78.61002349853516,Stop,Stepping
1776271822.0188072,13616.998533557,32.167179107666016,-17.312965393066406,98.76028442382812,-36.33964920043945,-17.16046905517578,97.38034057617188,29.05208396911621,2.3145244121551514,74.8955078125,-30.2197322845459,-3.22542142868042,78.6105728149414,Stop,Stepping
1776271822.0388002,13617.012309609,32.16591262817383,-17.314762115478516,98.76136016845703,-36.338287353515625,-17.162277221679688,97.38158416748047,29.05103302001953,2.3120625019073486,74.89805603027344,-30.218673706054688,-3.227654457092285,78.61276245117188,Stop,Stepping
1776271822.058791,13617.032388362,32.16307067871094,-17.318824768066406,98.76380157470703,-36.33522033691406,-17.166353225708008,97.38438415527344,29.048664093017578,2.306525707244873,74.90377807617188,-30.21628761291504,-3.2326862812042236,78.61767578125,Stop,Stepping
1776271822.0788383,13617.051540242,32.158042907714844,-17.326000213623047,98.76811218261719,-36.32979965209961,-17.173564910888672,97.38935089111328,29.044479370117188,2.296732187271118,74.91390991210938,-30.212072372436523,-3.2415764331817627,78.6263656616211,Stop,Stepping
1776271822.09878,13617.077324823,32.15024185180664,-17.337127685546875,98.77478790283203,-36.32139587402344,-17.18474769592285,97.39704895019531,29.037994384765625,2.2815544605255127,74.92960357666016,-30.205537796020508,-3.255362033843994,78.63983154296875,Stop,Stepping
1776271822.118768,13617.0912256,32.139129638671875,-17.35298728942871,98.7843017578125,-36.30941390991211,-17.20069122314453,97.40802001953125,29.028743743896484,2.259913206100464,74.95196533203125,-30.19622230529785,-3.2750086784362793,78.65901947021484,Stop,Stepping
1776271822.1388261,13617.11124647,32.124149322509766,-17.374372482299805,98.797119140625,-36.293270111083984,-17.2221736907959,97.42279052734375,29.01628303527832,2.2307591438293457,74.98207092285156,-30.18366813659668,-3.3014814853668213,78.68486022949219,Stop,Stepping
1776271822.1588268,13617.144098843,32.10480499267578,-17.4019775390625,98.81364440917969,-36.27241897583008,-17.249910354614258,97.44183349609375,29.000186920166016,2.1931142807006836,75.02091979980469,-30.167455673217773,-3.3356666564941406,78.71820831298828,Stop,Stepping
1776271822.1788163,13617.151585301,32.08065414428711,-17.436429977416992,98.8342514038086,-36.24638748168945,-17.2845401763916,97.46559143066406,28.980091094970703,2.1461341381073,75.0693588256836,-30.1472110748291,-3.378333568572998,78.7597885131836,Stop,Stepping
1776271822.1987672,13617.177503854,32.05120849609375,-17.478452682495117,98.85932159423828,-36.214637756347656,-17.326765060424805,97.49449920654297,28.955581665039062,2.0888540744781494,75.12835693359375,-30.12252426147461,-3.4303574562072754,78.81043243408203,Stop,Stepping
1776271822.218778,13617.196350371,32.0160026550293,-17.528688430786133,98.88925170898438,-36.17667770385742,-17.377248764038086,97.52899169921875,28.92627716064453,2.0203945636749268,75.19877624511719,-30.093000411987305,-3.492540121078491,78.87088775634766,Stop,Stepping
1776271822.2387745,13617.212470488,31.974714279174805,-17.587596893310547,98.92424774169922,-36.13215255737305,-17.43644142150879,97.56936645507812,28.891908645629883,1.940138339996338,75.28120422363281,-30.058372497558594,-3.5654373168945312,78.94163513183594,Stop,Stepping
1776271822.2587721,13617.234214998,31.926908493041992,-17.65581512451172,98.96466827392578,-36.08058166503906,-17.504989624023438,97.61598205566406,28.85210609436035,1.8472493886947632,75.37643432617188,-30.018264770507812,-3.649829864501953,79.02339935302734,Stop,Stepping
1776271822.278774,13617.270670879,31.87221908569336,-17.733835220336914,99.01074981689453,-36.02157974243164,-17.583396911621094,97.66913604736328,28.806568145751953,1.7410438060760498,75.48507690429688,-29.972373962402344,-3.7463228702545166,79.11669158935547,Stop,Stepping
1776271822.2987752,13617.27389904,31.810287475585938,-17.822185516357422,99.06272888183594,-35.95474624633789,-17.672178268432617,97.72911834716797,28.75498390197754,1.6208356618881226,75.60774993896484,-29.920381546020508,-3.8555521965026855,79.22203826904297,Stop,Stepping
1776271822.3188217,13617.298222066,31.740886688232422,-17.92119026184082,99.12074279785156,-35.87982940673828,-17.77167320251465,97.79606628417969,28.697166442871094,1.4862055778503418,75.74478149414062,-29.862102508544922,-3.977903127670288,79.33971405029297,Stop,Stepping
1776271822.3387623,13617.335944616,31.66365623474121,-18.03133773803711,99.18497467041016,-35.79644012451172,-17.882375717163086,97.8702392578125,28.632810592651367,1.3364959955215454,75.89669036865234,-29.797225952148438,-4.113986968994141,79.47019958496094,Stop,Stepping
1776271822.3588295,13617.337664386,31.5782470703125,-18.15315818786621,99.25564575195312,-35.704185485839844,-18.004806518554688,97.95186614990234,28.561616897583008,1.1710352897644043,76.06402587890625,-29.72543716430664,-4.264410972595215,79.61394500732422,Stop,Stepping
1776271822.378834,13617.351979551,31.48456573486328,-18.28675651550293,99.33269500732422,-35.60296630859375,-18.139074325561523,98.04088592529297,28.483501434326172,0.9897035360336304,76.2467269897461,-29.64666175842285,-4.429296016693115,79.77091217041016,Stop,Stepping
1776271822.3988354,13617.373153849,31.382354736328125,-18.432512283325195,99.41622924804688,-35.49248123168945,-18.285554885864258,98.13742065429688,28.39824676513672,0.7920241355895996,76.44508361816406,-29.560665130615234,-4.609086036682129,79.94136810302734,Stop,Stepping
1776271822.4187715,13617.392291408,31.27141571044922,-18.590686798095703,99.50623321533203,-35.37250518798828,-18.44454002380371,98.24151611328125,28.30567169189453,0.5776476263999939,76.65923309326172,-29.467269897460938,-4.804093837738037,80.12541198730469,Stop,Stepping
1776271822.438773,13617.436419559,31.151412963867188,-18.76176643371582,99.60284423828125,-35.242671966552734,-18.616493225097656,98.35328674316406,28.20549201965332,0.34597548842430115,76.8895492553711,-29.366180419921875,-5.014886856079102,80.32337951660156,Stop,Stepping
