time_start,time_end,flshoulder,flarm,flfoot,frshoulder,frarm,frfoot,blshoulder,blarm,blfoot,brshoulder,brarm,brfoot,motion,movement
1776272679.7151012,14474.672952716,33.4251594543457,-5.5476460456848145,83.6399917602539,-35.86515808105469,-7.109996318817139,89.30999755859375,32.02751159667969,-2.434847354888916,79.11001586914062,-27.939998626708984,-5.094838619232178,81.37000274658203,Stop,Stepping
1776272679.73508,14474.756904375,33.42500305175781,-5.54793119430542,83.6402587890625,-35.86498260498047,-7.110281944274902,89.31024932861328,32.027366638183594,-2.4351484775543213,79.11031341552734,-27.939865112304688,-5.09512186050415,81.3702621459961,Stop,Stepping
1776272679.7551,14474.759070315,33.42412567138672,-5.549526214599609,83.64173889160156,-35.86399459838867,-7.111846923828125,89.31158447265625,32.02653503417969,-2.436815023422241,79.11195373535156,-27.939123153686523,-5.09669828414917,81.37168884277344,Stop,Stepping
1776272679.7750592,14474.76014116,33.42192459106445,-5.5534987449646,83.64542388916016,-35.86151885986328,-7.115771770477295,89.31495666503906,32.02445983886719,-2.4410035610198975,79.11610412597656,-27.937274932861328,-5.100647926330566,81.37525177001953,Stop,Stepping
1776272679.7950838,14474.760509874,33.41781997680664,-5.560940742492676,83.6523208618164,-35.85689163208008,-7.12311315536499,89.32125091552734,32.02058029174805,-2.44882869720459,79.12386322021484,-27.933809280395508,-5.108029365539551,81.38192749023438,Stop,Stepping
1776272679.8150613,14474.866430315,33.411251068115234,-5.572849750518799,83.66336822509766,-35.8494987487793,-7.13484525680542,89.33131408691406,32.014373779296875,-2.4613428115844727,79.13626098632812,-27.928272247314453,-5.119832515716553,81.39259338378906,Stop,Stepping
1776272679.8350687,14474.868776668,33.40168380737305,-5.590176582336426,83.67941284179688,-35.83871841430664,-7.1519389152526855,89.34597778320312,32.00533676147461,-2.4795682430267334,79.154296875,-27.920207977294922,-5.137030601501465,81.40811920166016,Stop,Stepping
1776272679.855094,14474.870946428,33.38859176635742,-5.613893508911133,83.70138549804688,-35.823978424072266,-7.175333023071289,89.36603546142578,31.992969512939453,-2.5044972896575928,79.17897033691406,-27.90917205810547,-5.160549640655518,81.42935943603516,Stop,Stepping
1776272679.8750546,14474.873131816,33.37155532836914,-5.644742012023926,83.72993469238281,-35.80479431152344,-7.20576286315918,89.39208984375,31.976879119873047,-2.5369322299957275,79.21104431152344,-27.894813537597656,-5.191154956817627,81.45696258544922,Stop,Stepping
1776272679.8951235,14474.88013393,33.34999465942383,-5.683773994445801,83.76602172851562,-35.780517578125,-7.2442626953125,89.4250259399414,31.95651626586914,-2.5779690742492676,79.2515869140625,-27.87664222717285,-5.229875087738037,81.49186706542969,Stop,Stepping
1776272679.9150786,14474.881878514,33.32364273071289,-5.731476306915283,83.81008911132812,-35.7508430480957,-7.291322231292725,89.4652328491211,31.931623458862305,-2.6281158924102783,79.30107879638672,-27.854434967041016,-5.2772040367126465,81.53449249267578,Stop,Stepping
1776272679.935088,14474.895537992,33.29192352294922,-5.788876056671143,83.863037109375,-35.71512985229492,-7.347944736480713,89.51353454589844,31.901662826538086,-2.688448667526245,79.36054992675781,-27.82770538330078,-5.334131240844727,81.58567810058594,Stop,Stepping
1776272679.9550843,14474.916672764,33.25453186035156,-5.8565239906311035,83.92533111572266,-35.67302703857422,-7.4146833419799805,89.57037353515625,31.86634063720703,-2.7595436573028564,79.4305191040039,-27.79619789123535,-5.401223659515381,81.64591217041016,Stop,Stepping
1776272679.9750762,14475.036587017,33.21104431152344,-5.935160160064697,83.99761199951172,-35.62406539916992,-7.492278099060059,89.63629913330078,31.82526206970215,-2.8421874046325684,79.51171112060547,-27.759553909301758,-5.479217052459717,81.71581268310547,Stop,Stepping
1776272679.9950871,14475.036835509,33.161128997802734,-6.0253705978393555,84.08035278320312,-35.567867279052734,-7.5813212394714355,89.71178436279297,31.77811050415039,-2.9369826316833496,79.60464477539062,-27.717496871948242,-5.568696975708008,81.79583740234375,Stop,Stepping
